,Forecast
2020-05-03,2021.6837104746373
2020-05-04,1981.589200397837
2020-05-05,1940.8365828761016
2020-05-06,1903.3811208174448
2020-05-07,1870.9969602997298
2020-05-08,1843.257632222143
2020-05-09,1819.745882108109
2020-05-10,1799.9228326230077
2020-05-11,1783.3514763941057
2020-05-12,1769.5429801510181
2020-05-13,1758.1598137351684
2020-05-14,1748.7838062985102
2020-05-15,1741.1396900329855
2020-05-16,1734.9165095526841
2020-05-17,1729.0684813708067
2020-05-18,1723.3917637445265
2020-05-19,1717.7869303692132
2020-05-20,1712.3402219822165
2020-05-21,1707.0859006946557
