,Forecast
2020-05-03,2082.2426282473607
2020-05-04,2078.566349542816
2020-05-05,2073.6463511136826
2020-05-06,2068.5572312385775
2020-05-07,2063.3377829764504
2020-05-08,2058.0445159013616
2020-05-09,2052.682724604034
2020-05-10,2047.2955803626683
2020-05-11,2041.915868912125
2020-05-12,2036.574288696691
2020-05-13,2031.2415667388123
2020-05-14,2025.9830199605785
2020-05-15,2020.7541025265818
2020-05-16,2015.5814910285408
2020-05-17,2010.4866692865035
2020-05-18,2005.4557899093488
2020-05-19,2000.5152749411645
2020-05-20,1995.6596770626493
2020-05-21,1990.8713306682184
