,Forecast
2020-05-03,151.10249428193492
2020-05-04,154.99199646948364
2020-05-05,157.5504256666627
2020-05-06,158.78936931182488
2020-05-07,158.85649049144286
2020-05-08,158.08274609351793
2020-05-09,156.9078798421233
2020-05-10,155.56140371644142
2020-05-11,154.38337964687344
2020-05-12,153.52461099463108
2020-05-13,153.0532364585215
2020-05-14,152.95581776787367
2020-05-15,153.1323047168953
2020-05-16,153.54897882486875
2020-05-17,154.0346512599299
2020-05-18,154.4470798568036
2020-05-19,154.74175692268
2020-05-20,154.9111212373773
2020-05-21,154.9334540292366
