,Forecast
2020-05-03,25444.759544730183
2020-05-04,26222.05585837364
2020-05-05,26899.508509039875
2020-05-06,27593.810348212715
2020-05-07,28291.14697873592
2020-05-08,28827.854728698727
2020-05-09,29361.86580061912
2020-05-10,29582.034415006634
2020-05-11,29744.835224747654
2020-05-12,29944.613063335415
2020-05-13,30147.242423892018
2020-05-14,30354.33757305145
2020-05-15,30550.228604674336
2020-05-16,30735.240915417668
2020-05-17,30924.904528260227
2020-05-18,31104.33497726917
2020-05-19,31287.56471276283
2020-05-20,31479.75370287895
2020-05-21,31667.79930889606
