,Forecast
2020-05-03,1291.461702670378
2020-05-04,1293.7954798595163
2020-05-05,1296.1680039979399
2020-05-06,1298.0701462262512
2020-05-07,1299.59141805151
2020-05-08,1300.4892877880336
2020-05-09,1301.459747512359
2020-05-10,1301.9198978061756
2020-05-11,1301.8873564229868
2020-05-12,1301.6382256475042
2020-05-13,1300.8017758798085
2020-05-14,1299.030404605335
2020-05-15,1297.3900464531323
2020-05-16,1295.7154214676555
2020-05-17,1293.6778162721164
2020-05-18,1291.654680640451
2020-05-19,1288.969093260224
2020-05-20,1287.1419627040448
2020-05-21,1284.9821835340406
