,Forecast
2020-05-03,96.35784408986547
2020-05-04,97.46311602992682
2020-05-05,98.86970583510356
2020-05-06,100.69192096966162
2020-05-07,103.1684736825182
2020-05-08,106.3797411710575
2020-05-09,108.61092193748846
2020-05-10,109.3512669819911
2020-05-11,109.84336362589875
2020-05-12,110.13508216140235
2020-05-13,110.31727617387514
2020-05-14,110.40379277989996
2020-05-15,110.4317694555939
2020-05-16,110.43193669130142
2020-05-17,110.42296170833106
2020-05-18,110.41283465715333
2020-05-19,110.40628273376751
2020-05-20,110.40411238591878
2020-05-21,110.40659490708822
