,Forecast
2020-05-03,260.24926882708314
2020-05-04,259.22404162094836
2020-05-05,258.3716899638671
2020-05-06,257.6386767209442
2020-05-07,257.0486459722406
2020-05-08,256.5999525794996
2020-05-09,256.3264132735526
2020-05-10,256.10275523970813
2020-05-11,255.92011513619582
2020-05-12,255.76938306305692
2020-05-13,255.64661408927805
2020-05-14,255.55590618198949
2020-05-15,255.48571361637187
2020-05-16,255.42796373725878
2020-05-17,255.38197638413067
2020-05-18,255.34345379270462
2020-05-19,255.3117710655033
2020-05-20,255.28297476950684
2020-05-21,255.26073352051753
