,Forecast
2020-05-03,174.09133721223498
2020-05-04,174.14697078978043
2020-05-05,174.1688406241451
2020-05-06,174.1671236873417
2020-05-07,174.14962460310653
2020-05-08,174.12220186540344
2020-05-09,174.08949562662383
2020-05-10,174.05424011867945
2020-05-11,174.01871922940245
2020-05-12,173.98499971644378
2020-05-13,173.95468190965767
2020-05-14,173.92743609284298
2020-05-15,173.9042031634517
2020-05-16,173.88475794944407
2020-05-17,173.86877877647748
2020-05-18,173.8566355700459
2020-05-19,173.84688079560783
2020-05-20,173.83973962520304
2020-05-21,173.83496276121605
