,Forecast
2020-05-03,367.4104740287876
2020-05-04,367.1091600936343
2020-05-05,366.92836224682105
2020-05-06,366.80808330151194
2020-05-07,366.72623733675573
2020-05-08,366.66957596188877
2020-05-09,366.62968850407924
2020-05-10,366.60145267385815
2020-05-11,366.5812797066901
2020-05-12,366.56678236273
2020-05-13,366.5564903551858
2020-05-14,366.5490282544779
2020-05-15,366.54349491708854
2020-05-16,366.5395109141682
2020-05-17,366.5367442454735
2020-05-18,366.53489452983194
2020-05-19,366.5334084335045
2020-05-20,366.53222271834966
2020-05-21,366.53143224157975
