,Forecast
2020-05-03,211.5800248256637
2020-05-04,210.41085093924994
2020-05-05,208.92483433671077
2020-05-06,207.18390294439087
2020-05-07,205.26477975636226
2020-05-08,203.82286090997513
2020-05-09,203.74541084400335
2020-05-10,203.71612506422753
2020-05-11,203.2308975687156
2020-05-12,202.90669113602416
2020-05-13,202.706644911701
2020-05-14,202.7515204656993
2020-05-15,202.8926696389808
2020-05-16,203.1823401564343
2020-05-17,203.56927767628986
2020-05-18,203.98864175744166
2020-05-19,204.50588577951567
2020-05-20,205.11497758204132
2020-05-21,205.65745776249605
