,Forecast
2020-05-03,291.1612539174193
2020-05-04,292.795699008333
2020-05-05,293.95707191867217
2020-05-06,294.73191032910375
2020-05-07,295.36375335867973
2020-05-08,295.93230975793716
2020-05-09,296.433067174501
2020-05-10,296.8904278415302
2020-05-11,297.2981597385005
2020-05-12,297.64423229443395
2020-05-13,297.95368018242874
2020-05-14,298.2378802153234
2020-05-15,298.5098862377053
2020-05-16,298.80718985765446
2020-05-17,299.09999533736203
2020-05-18,299.43736296154833
2020-05-19,299.81659242485506
2020-05-20,300.25362263496294
2020-05-21,300.7778016474767
