,Forecast
2020-05-03,171.0805725538839
2020-05-04,170.8202318457006
2020-05-05,170.5640061606882
2020-05-06,170.32059152809413
2020-05-07,170.12798294214278
2020-05-08,169.95954519088443
2020-05-09,169.80617422023894
2020-05-10,169.67539762470548
2020-05-11,169.56050154112742
2020-05-12,169.45521258770165
2020-05-13,169.36198123174742
2020-05-14,169.28069387544198
2020-05-15,169.2071636276041
2020-05-16,169.14157595406684
2020-05-17,169.084283239913
2020-05-18,169.03291152247945
2020-05-19,168.98813311541105
2020-05-20,168.94948899077096
2020-05-21,168.91677513614283
